Identyfikator zbioru danych;Organ zgłaszający;TERYT;Usługa pobierania;01.01.1900
PL.PZGiK.988;Starosta Pińczowski;2608;https://pinczow.geoportal2.pl/map/geoportal/wfs.php;01.01.1900
PL.PZGiK.990;Starosta Radzyński;0615;https://powiatradzynski.geoportal2.pl/map/geoportal/wfs.php;01.01.1900
PL.PZGiK.993;Starosta Szydłowiecki;1430;https://szydlowiecpowiat.geoportal2.pl/map/geoportal/wfs.php;01.01.1900
PL.PZGiK.995;Starosta Powiatu Mławskiego;1413;https://powiatmlawski.geoportal2.pl/map/geoportal/wfs.php;01.01.1900
PL.PZGiK.996;Starosta Suski;1215;https://powiatsuski.geoportal2.pl/map/geoportal/wfs.php;01.01.1900
PL.PZGiK.997;Starosta Zduńskowolski;1019;https://mapy.geoportal.gov.pl/wss/ext/PowiatoweBazyEwidencjiGruntow/1019;01.01.1900
PL.PZGiK.998;Starosta Malborski;2209;https://malborski-wms.webewid.pl/iip/ows;01.01.1900
PL.PZGiK.999;Starosta Sulęciński;0807;https://sulecin.geoportal2.pl/map/geoportal/wfs.php;01.01.1900
PL.PZGiK.1000;Starosta Łaski;1003;https://lask.geoportal2.pl/map/geoportal/wfs.php;01.01.1900
PL.PZGiK.1001;Starosta Powiatu Piotrkowskiego;1010;https://piotrkow.geoportal2.pl/map/geoportal/wfs.php;01.01.1900
PL.PZGiK.1002;Starosta Rawski;1013;https://wms.powiatrawski.pl/iip/ows;01.01.1900
PL.PZGiK.1003;Starosta Powiatu Bialskiego;0601;https://powiatbialski.geoportal2.pl/map/geoportal/wfs.php;01.01.1900
PL.PZGiK.1004;Starosta Parczewski;0613;http://parczew.geoportal2.pl/map/geoportal/wfs.php;01.01.1900
PL.PZGiK.1005;Starosta Kościerski;2206;https://koscierski-wms.webewid.pl/iip/ows;01.01.1900
PL.PZGiK.1006;Starosta Powiatu Lęborskiego;2208;https://leborski.webewid.pl:44443/iip/ows;01.01.1900
PL.PZGiK.1007;Starosta Ostrołęcki;1415;http://powiatostrolecki.geoportal2.pl/map/geoportal/wfse.php;01.01.1900
PL.PZGiK.1010;Starosta Włodawski;0619;https://wms.epodgik.pl/cgi-bin/wlodawa;01.01.1900
PL.PZGiK.1011;Starosta Grójecki;1406;https://grojec.geoportal2.pl/map/geoportal/wfs.php;01.01.1900
PL.PZGiK.1012;Starosta Nowotarski;1211;https://nowotarski.geoportal2.pl/map/geoportal/wfs.php;01.01.1900
PL.PZGiK.1013;Starosta Świdnicki;0617;https://powiatswidnik.geoportal2.pl/map/geoportal/wfs.php;01.01.1900
PL.PZGiK.1385;Starosta Powiatu Puckiego;2211;https://pdp.puck.pl/iip/ows;01.01.1900
PL.PZGiK.1386;Prezydent Miasta Piotrków Trybunalski;1062;https://ikerg.piotrkow.pl/piotrkow-egib;01.01.1900
PL.PZGiK.1387;Starosta Powiatu Kutnowskiego;1002;https://powiatkutno.geoportal2.pl/map/geoportal/wfs.php;01.01.1900
PL.PZGiK.1388;Starosta Kwidzyński;2207;https://kwidzynski-wms.webewid.pl/iip/ows;01.01.1900
PL.PZGiK.1389;Starosta Węgrowski;1433;https://wms.epodgik.pl/cgi-bin/wegrow;01.01.1900
PL.PZGiK.1391;Starosta Augustowski;2001;https://augustowski.geoportal2.pl/map/geoportal/wfs.php;01.01.1900
PL.PZGiK.1392;Starosta Sztumski;2216;https://mapy.geoportal.gov.pl/wss/ext/PowiatoweBazyEwidencjiGruntow/2216;01.01.1900
